region,annotation,x,y,cell_name,SampleSize,KCNQ3_GSS
Cortex,Astr,6739.12732727213,12976.1164497246,Cell_10177,1002081,0.0
DG,GN DG,2034.11217155371,10818.8476592259,Cell_10179,1002081,1.931640625
DG,Astr,2215.22202817346,10908.5093558146,Cell_10180,1002081,0.0
SL/R CA1,Astr,2789.74636907957,11167.0476154715,Cell_10181,1002081,0.0
CA1,Glu Neu,5721.36934718229,12511.0014704309,Cell_10184,1002081,0.0
Cortex,Glu Neu,6795.65088907484,13013.590933859,Cell_10185,1002081,1.990234375
Cortex,Unknown,6966.04435506647,13090.6368081636,Cell_10186,1002081,0.0
Meni,Meninge,1500.92539721863,10585.3185097088,Cell_10187,1002081,0.0
DG,Glu Neu,1988.58865992515,10795.7693168026,Cell_10188,1002081,0.0
DG,GABA Neu,2111.03261361846,10857.4254454838,Cell_10189,1002081,0.0
SL/R CA1,Mic,3401.98965059125,11456.0863918386,Cell_10190,1002081,0.0
SL/R CA1,GABA Neu,4066.71003611638,11755.4403780611,Cell_10191,1002081,0.0
SL/R CA1,Astr,4955.29614256246,12178.3667681469,Cell_10192,1002081,1.791015625
SL/R CA1,Astr,5145.65238098047,12250.2660205446,Cell_10193,1002081,1.888671875
CA1,Olig,6132.29709018015,12701.6618754306,Cell_10194,1002081,0.0
DG,GN DG,1971.05188816853,10793.2273419097,Cell_10195,1002081,1.9541015625
DG,Glu Neu,3033.85852197292,11287.2537168548,Cell_10196,1002081,1.72265625
SL/R CA1,End,4285.16271261762,11864.4285798513,Cell_10197,1002081,0.0
SL/R CA1,GABA Neu,4770.55042294401,12087.0375883485,Cell_10198,1002081,1.72265625
CA1,Glu Neu,5309.41666421158,12329.7723695854,Cell_10199,1002081,1.875
Ependymal,Epe,6747.6737947059,10724.1754629547,Cell_1020,1002081,0.0
CA1,Glu Neu,5341.57211210782,12341.219079619,Cell_10200,1002081,1.8203125
CA1,GABA Neu,5596.00729787197,12455.7081019974,Cell_10201,1002081,0.0
CA1,Unknown,5699.21252253248,12504.140339224,Cell_10202,1002081,0.0
CA1,Glu Neu,5759.65874488586,12531.8622475855,Cell_10203,1002081,0.0
Cortex,GABA Neu,6275.15516116874,12771.5801960156,Cell_10204,1002081,0.0
Cortex,Glu Neu,6516.75199022022,12876.8808237073,Cell_10205,1002081,2.3125
Cortex,Astr,7542.32864036035,13354.9328969037,Cell_10206,1002081,0.0
DG,Glu Neu,2362.96657456803,10977.3682623603,Cell_10207,1002081,0.0
SL/R CA1,Astr,3281.93094748934,11398.8246436162,Cell_10208,1002081,0.0
Cortex,Astr,6805.28028359304,10747.2945554563,Cell_1021,1002081,0.0
SL/R CA1,Astr,4308.64537381954,11870.7976161109,Cell_10210,1002081,0.0
Cortex,Glu Neu,6886.90634773317,13059.2931358306,Cell_10211,1002081,2.068359375
DG,Unknown,1993.39363517444,10818.8758572805,Cell_10213,1002081,0.0
DG,Glu Neu,2742.98948207695,11153.8550600774,Cell_10214,1002081,0.0
SL/R CA1,Astr,3513.10914448603,11513.6490366403,Cell_10215,1002081,0.0
CA1,Mic,5025.06083285298,12203.7614130286,Cell_10216,1002081,0.0
Cortex,Glu Neu,6336.5479613442,12800.8363763304,Cell_10217,1002081,2.0390625
DG,Glu Neu,2166.5139984151,10897.1723439923,Cell_10218,1002081,0.0
DG,GABA Neu,2339.4086892213,10968.7644237989,Cell_10219,1002081,0.0
CAA,Glu Neu,4855.39830225077,9848.63707964205,Cell_1022,1002081,1.8037109375
SL/R CA1,Astr,3680.28361828139,11588.1184619855,Cell_10220,1002081,0.0
CA1,GN DG,5260.06609121634,12312.6399166075,Cell_10221,1002081,2.212890625
